P,N,mean_revisit_h,t100_h,worst_maxgap_h,p95_maxgap_h,cov24h
1,1,12.1955,62.4583,88.75,41.7137,0.9879
1,2,5.9867,15.4667,19.9917,19.1167,1.0
1,3,3.9409,15.425,19.9917,18.825,1.0
1,4,2.9291,15.425,19.5583,18.6833,1.0
1,5,2.3301,15.425,19.3083,18.6,1.0
1,6,1.9294,15.1417,19.4167,18.5417,1.0
1,8,1.4346,15.2083,19.3417,18.4667,1.0
1,10,1.1399,15.25,19.1333,18.425,1.0
1,12,0.9426,15.1417,19.1333,18.4,1.0
2,1,6.3544,15.4083,18.2083,18.2,1.0
2,2,3.1726,4.0917,8.6583,7.7833,1.0
2,3,2.0943,3.4083,7.9417,7.35,1.0
2,4,1.56,3.45,7.5833,7.1333,1.0
2,5,1.2402,3.4917,7.7083,7.0,1.0
2,6,1.0274,3.5167,7.5167,6.9167,1.0
2,8,0.762,3.3417,7.475,6.6,1.0
2,10,0.6031,3.4083,7.2917,6.575,1.0
2,12,0.4967,3.3083,7.3,6.5667,1.0
3,1,4.192,28.575,80.9167,27.825,0.9992
3,2,2.0978,5.3333,7.0333,7.025,1.0
3,3,1.3859,5.4333,7.0333,6.4333,1.0
3,4,1.0282,5.05,6.6,6.15,1.0
3,5,0.8154,5.1583,6.35,5.9833,1.0
3,6,0.674,5.2333,6.4583,5.8667,1.0
3,8,0.4973,5.1167,6.175,5.725,1.0
3,10,0.3911,5.05,6.175,5.6417,1.0
3,12,0.321,5.1333,6.175,5.5833,1.0
4,1,3.1746,8.1083,16.4333,11.5833,1.0
4,2,1.5681,3.2,5.275,5.2667,1.0
4,3,1.0357,2.775,5.2667,5.2583,1.0
4,4,0.8587,2.9417,5.2583,4.9,1.0
4,5,0.828,2.7917,4.8833,4.875,1.0
4,6,0.5004,2.6917,4.8417,4.8417,1.0
4,8,0.3674,2.7833,4.8,4.7167,1.0
4,10,0.3931,2.6667,4.7583,4.75,1.0
4,12,0.3039,2.725,4.6667,4.6333,1.0
