P,N,alt,inc,ng,lam_deg,swath_km,mean_revisit_h,p50_maxgap_h,p95_maxgap_h,worst_maxgap_h,mean_maxgap_h,frac_lt2acc,Cinst_mean,Cinst_peak,t90_h,t99_h,t100_h,cov24h,mean_daily_passes
3,8,800,50,1310,4.2437,944.8162,0.4125,3.4833,5.925,7.25,3.576,0.0113,0.0818,0.264,2.0917,nan,nan,0.9887,57.6959
3,8,800,52,1310,4.2437,944.8162,0.3902,3.0833,4.825,5.925,3.3054,0.0,0.0826,0.2649,2.95,4.2333,4.4583,1.0,59.4376
3,8,800,53,1310,4.2437,944.8162,0.4059,3.075,4.8417,5.5083,3.3229,0.0,0.0792,0.264,3.375,4.45,4.675,1.0,57.8661
3,8,800,54,1310,4.2437,944.8162,0.4315,3.2917,5.0667,5.7333,3.4538,0.0,0.0744,0.2646,3.6167,4.675,4.8917,1.0,55.0795
3,8,800,55,1310,4.2437,944.8162,0.4636,3.5083,5.5,5.9583,3.6704,0.0,0.069,0.2643,3.8417,4.8917,4.9,1.0,51.4826
3,8,800,56,1310,4.2437,944.8162,0.4973,3.95,5.725,6.175,3.9745,0.0,0.0638,0.2643,4.0583,4.9,5.1167,1.0,47.9551
3,8,800,57,1310,4.2437,944.8162,0.5343,4.3917,5.95,6.6,4.3115,0.0,0.059,0.2642,4.275,5.1083,5.3333,1.0,44.5124
3,8,800,58,1310,4.2437,944.8162,0.5768,4.825,6.375,6.825,4.6756,0.0,0.0546,0.2636,4.4833,5.3167,5.3417,1.0,40.9769
3,8,800,60,1310,4.2437,944.8162,0.6897,5.4833,6.8167,7.2083,5.4296,0.0,0.0471,0.2998,4.8917,5.5417,5.5583,1.0,34.5847
3,8,800,65,1310,4.2437,944.8162,1.0836,6.7917,7.0333,7.2333,6.6,0.0,0.0351,0.3743,5.5333,5.95,5.9667,1.0,22.8375
3,8,800,70,1310,4.2437,944.8162,0.8582,6.4083,6.9667,6.9833,6.4573,0.0,0.0365,0.5083,5.325,5.7667,5.7833,1.0,26.1128
3,8,800,75,1310,4.2437,944.8162,0.8789,5.75,6.025,6.25,5.6677,0.0,0.034,0.3902,4.9083,5.3417,5.35,1.0,25.6588
3,8,800,80,1310,4.2437,944.8162,0.9228,4.9083,5.1667,5.1917,4.9082,0.0,0.0324,0.2643,4.4833,4.9167,4.925,1.0,24.6237
3,8,800,85,1310,4.2437,944.8162,0.9493,4.0833,4.2917,4.3417,4.0976,0.0,0.0317,0.2636,3.6667,4.0833,4.1,1.0,24.176
3,8,800,90,1310,4.2437,944.8162,0.9568,3.4333,3.4667,3.6,3.429,0.0,0.0315,0.2642,3.0417,3.2583,3.45,1.0,24.1819
3,8,800,98.6,1310,4.2437,944.8162,0.9266,4.675,4.8417,5.0,4.7245,0.0,0.0323,0.2628,1.7917,2.175,2.1833,1.0,25.0725
